pv 1.6.20-2
python 3.11.3-1
python-atspi 2.46.0-2
python-cairo 1.23.0-6
python-cairocffi 1.4.0-4
python-capng 0.8.3-2
python-cffi 1.15.1-3
python-chardet 5.1.0-3
python-colorama 0.4.6-2
python-cryptg 0.4-1
python-dateutil 2.8.2-5
python-defusedxml 0.7.1-5
python-feedgen 0.9.0-4
python-future 0.18.3-1
python-gobject 3.44.1-4
python-gpgme 1.20.0-3
python-idna 3.4-3
python-jinja 1:3.1.2-4
python-lxml 4.9.2-3
python-mako 1.2.4-3
python-markdown 3.4.3-2
python-markupsafe 2.1.2-3
python-packaging 23.1-1
python-pillow 9.5.0-2
python-ply 3.11-12
python-psutil 5.9.5-1
python-pyaes 1.6.1-10
python-pyaml 23.5.9-1
python-pyasn1 0.4.8-8
python-pycparser 2.21-5
python-pygments 2.15.1-1
python-pyqt5 5.15.9-2
python-pyqt5-sip 12.12.1-2
python-pysocks 1.7.1-8
python-pywayland 0.4.15-2
python-pywlroots 0.15.24-4
python-pyxdg 0.28-2
python-requests 2.28.2-4
python-rsa 4.9-2
python-setproctitle 1.3.2-2
python-shtab 1.6.1-1
python-six 1.16.0-8
python-telethon 1.28.5-1
python-termcolor 2.3.0-1
python-tqdm 4.65.0-3
python-typing_extensions 4.6.3-1
python-ujson 5.7.0-2
python-urllib3 1.26.15-1
python-xcffib 1.2.0-2
python-xkbcommon 0.8-2
python-yaml 6.0-3
qca-qt5 2.3.6-2
qrencode 4.1.1-2
qt5-base 5.15.9+kde+r155-1
qt5-declarative 5.15.9+kde+r26-1
qt5-location 5.15.9+kde+r4-1
qt5-multimedia 5.15.9+kde+r3-1
qt5-speech 5.15.9+kde+r1-1
qt5-svg 5.15.9+kde+r8-1
qt5-translations 5.15.9-1
qt5-wayland 5.15.9+kde+r55-1
qt5-webchannel 5.15.9+kde+r3-1
qt5-webengine 5.15.14-1
qt5-x11extras 5.15.9-1
qt6-5compat 6.5.1-1
qt6-base 6.5.1-1
qt6-declarative 6.5.1-1
qt6-httpserver 6.5.1-1
qt6-imageformats 6.5.1-1
